temps (s)	HR_4	HR_8	HR_12	FLX_8	FLX_16	T_4	T_8	T_12
521400	0.478361158	0.556295951	0.656915271	3.602627173	4.396865405	294.6465152	291.3880893	287.5060331
521700	0.478277787	0.556168929	0.656803123	3.609102187	4.319575302	294.63831	291.3718423	287.4858717
522000	0.478201278	0.556047371	0.656704232	3.614565511	4.321663628	294.6302191	291.3563135	287.4683897
522300	0.478125532	0.55592642	0.656606813	3.619912507	4.332570454	294.6221408	291.3408646	287.4512054
522600	0.478049786	0.555805469	0.656509395	3.625255022	4.343472757	294.6140626	291.3254156	287.4340211
522900	0.477970312	0.555690877	0.656425199	3.629466113	4.44421174	294.6059765	291.31081	287.4194237
523200	0.477890424	0.555576991	0.656342471	3.633548573	4.554860452	294.5978896	291.2962982	287.4051138
523500	0.477810537	0.555463104	0.656259744	3.637627671	4.665432911	294.5898027	291.2817863	287.3908039
523800	0.477716646	0.555355175	0.656180784	3.640690264	4.728559048	294.5814203	291.2680754	287.3771062
524100	0.4776212	0.555247907	0.656102241	3.643637803	4.786324587	294.5730051	291.2544536	287.3634764
524400	0.477525753	0.555140639	0.656023699	3.646582908	4.843991764	294.56459	291.2408318	287.3498467
524700	0.477472079	0.5550389	0.655947029	3.649261203	4.823024619	294.5571763	291.2279459	287.3359211
525000	0.477423045	0.554937775	0.655870568	3.651908021	4.793352767	294.5498739	291.2151417	287.3219627
525300	0.477374012	0.554836651	0.655794106	3.654552753	4.763708735	294.5425715	291.2023375	287.3080042
525600	0.477330714	0.554740324	0.655714003	3.657298093	4.744507234	294.5355122	291.1901662	287.293909
525900	0.477288052	0.55464453	0.655633495	3.660052838	4.726479481	294.5284798	291.1780651	287.2797987
526200	0.477245391	0.554548736	0.655552988	3.662805582	4.708467692	294.5214474	291.1659641	287.2656883
526500	0.477163463	0.554456183	0.655472496	3.665399802	4.685229805	294.5137457	291.1542804	287.2517579
526800	0.477077173	0.55436399	0.655392005	3.667974805	4.661426562	294.5059696	291.1426431	287.2378476
527100	0.476990882	0.554271797	0.655311515	3.670547992	4.637640474	294.4981935	291.1310058	287.2239372
527400	0.476918687	0.554182195	0.655232692	3.672942773	4.615957915	294.4907444	291.1196888	287.2104936
527700	0.476848059	0.55409288	0.655154054	3.675316275	4.594520228	294.4833315	291.1084074	287.1971019
528000	0.476777431	0.554003565	0.655075417	3.677688131	4.57309538	294.4759187	291.097126	287.1837102
528300	0.476700336	0.553916419	0.654999425	3.67978943	4.555691686	294.4681345	291.0861104	287.1708906
528600	0.476622522	0.553829513	0.654923728	3.681859394	4.538742782	294.4603091	291.0751243	287.1581347
528900	0.476544708	0.553742607	0.65484803	3.683927911	4.52180312	294.4524836	291.0641382	287.1453787
529200	0.476555729	0.55365907	0.654770525	3.686458205	4.554506183	294.4468084	291.0535777	287.1322008
529500	0.476576621	0.553575906	0.654692819	3.68903837	4.592654695	294.4413721	291.0430644	287.118976
529800	0.476597513	0.553492743	0.654615113	3.691616928	4.630729684	294.4359359	291.0325512	287.1057513
530100	0.476565614	0.553412232	0.654536835	3.694448875	4.612414321	294.4295659	291.022364	287.0922583
530400	0.47652785	0.553332015	0.654458493	3.697307492	4.587855117	294.4230923	291.012213	287.0787355
530700	0.476490086	0.553251799	0.654380151	3.700164443	4.563314082	294.4166186	291.002062	287.0652128
531000	0.476451972	0.553174082	0.654309416	3.702920411	4.498376046	294.4106177	290.9921945	287.0530209
531300	0.476413819	0.553096642	0.654239526	3.705663784	4.428911296	294.4046694	290.9823584	287.0409768
