temps (s)	HR_4	HR_8	HR_12	FLX_8	FLX_16	T_4	T_8	T_12
891000	0.674840376	0.663897668	0.715520715	4.049403615	1.028965224	293.918691	289.8748127	285.9928129
891300	0.6750214	0.664154511	0.715916185	4.010288561	0.879821972	293.9292223	289.913052	286.089741
891600	0.675202424	0.664411353	0.716311655	3.971159828	0.730429933	293.9397535	289.9512912	286.1866692
891900	0.675383448	0.664668196	0.716707126	3.932017417	0.580789105	293.9502848	289.9895305	286.2835974
892200	0.675566422	0.664933901	0.717130706	3.890863768	0.502124283	293.9621232	290.0310156	286.3865897
892500	0.675749397	0.665199607	0.717554287	3.849694602	0.423339558	293.9739617	290.0725007	286.4895819
892800	0.675932371	0.665465312	0.717977867	3.808509918	0.34443493	293.9858001	290.1139858	286.5925742
893100	0.676116127	0.665739296	0.718403688	3.76616274	0.523637083	293.9986495	290.158503	286.693142
893400	0.676299884	0.66601328	0.71882951	3.723798511	0.702961106	294.0114988	290.2030202	286.7937098
893700	0.676483641	0.666287263	0.719255331	3.681417233	0.882406998	294.0243482	290.2475375	286.8942776
894000	0.676671079	0.666568235	0.719691989	3.638926395	0.665408439	294.0389499	290.2946087	286.9949195
894300	0.676858518	0.666849206	0.720128646	3.596417535	0.448080636	294.0535517	290.3416799	287.0955614
894600	0.677045957	0.667130178	0.720565304	3.553890652	0.230423587	294.0681534	290.3887511	287.1962033
894900	0.677235709	0.66741738	0.721016262	3.511525032	0.219252265	294.0842286	290.4380686	287.2979199
895200	0.677425462	0.667704582	0.721467221	3.469140643	0.208067617	294.1003038	290.4873862	287.3996364
895500	0.677615214	0.667991784	0.721918179	3.426737484	0.196869644	294.116379	290.5367038	287.501353
895800	0.677807381	0.668284897	0.722384703	3.384437041	0.110927007	294.1339504	290.5880863	287.6046268
896100	0.677999547	0.668578011	0.722851227	3.342117125	0.024871545	294.1515217	290.6394688	287.7079006
896400	0.678191714	0.668871125	0.723317751	3.299777737	-0.06129674	294.169093	290.6908514	287.8111744
